publishedAt,title,body,rating,author,useful
2022-11-27T23:30:25+0100,Eindelijk!!!,,5,"{'country': 'NL', 'authorId': 14039956, 'firstname': 'B.', 'countryLabel': 'Nederland'}",True
2022-11-19T19:18:54+0100,Lekker warm,,5,"{'country': 'NL', 'authorId': 5383800, 'firstname': 'Chiel', 'gender': 'Man', 'age': '30-39', 'countryLabel': 'Nederland'}",True
2022-10-26T18:28:57+0200,Een fijne warme jas,,5,"{'country': 'NL', 'authorId': 14024438, 'firstname': 'Rob', 'gender': 'Man', 'countryLabel': 'Nederland'}",True
2022-10-21T19:57:43+0200,Mooie warme en waterdichte parka,,4,"{'country': 'NL', 'authorId': 14011458, 'firstname': 'Jean', 'gender': 'Man', 'countryLabel': 'Nederland'}",True
2022-10-07T19:21:57+0200,Hele fijne winterjas,,5,"{'country': 'NL', 'authorId': 13976266, 'firstname': 'René', 'gender': 'Man', 'countryLabel': 'Nederland'}",True
2022-10-05T16:03:16+0200,"mooie, warme jas voor een goede prijs",,5,"{'country': 'NL', 'authorId': 13970770, 'firstname': 'J.J.', 'gender': 'Man', 'countryLabel': 'Nederland'}",True
2022-10-05T14:34:51+0200,Uitstekende warme jas,,5,"{'country': 'NL', 'authorId': 13970593, 'firstname': 'Jolanda', 'gender': 'Vrouw', 'countryLabel': 'Nederland'}",True
2022-10-04T20:49:45+0200,Goede kwaliteit voor een mooi prijsje,,5,"{'country': 'NL', 'authorId': 13969176, 'firstname': 'Bianca', 'gender': 'Vrouw', 'countryLabel': 'Nederland'}",True
2022-10-04T13:21:48+0200,Prima jas,,4,"{'country': 'NL', 'authorId': 12979404, 'firstname': 'Harry', 'countryLabel': 'Nederland'}",True
2022-10-04T11:11:08+0200,De perfecte jas voor het na jaar,,5,"{'country': 'NL', 'authorId': 13967646, 'firstname': 'Sjoerd', 'gender': 'Man', 'countryLabel': 'Nederland'}",True
2022-10-04T06:39:21+0200,Gewoon perfecte jas,,5,"{'country': 'NL', 'authorId': 12913697, 'firstname': 'Martin', 'countryLabel': 'Nederland'}",True
2022-10-04T01:23:31+0200,Super warme jas voor de echte koude dagen,,5,"{'country': 'NL', 'authorId': 13301257, 'firstname': 'Wim', 'countryLabel': 'Nederland'}",True
2022-10-03T20:09:59+0200,Prima parka.,,5,"{'country': 'NL', 'authorId': 13966736, 'firstname': 'Henk', 'gender': 'Man', 'countryLabel': 'Nederland'}",True
2022-10-03T19:47:22+0200,Antarctisch proof,,5,"{'country': 'NL', 'authorId': 13966674, 'firstname': 'Josch', 'gender': 'Man', 'age': '40-49', 'countryLabel': 'Nederland'}",True
2022-10-03T19:34:01+0200,prima jas!,,4,"{'country': 'NL', 'authorId': 13966641, 'firstname': 'M', 'gender': 'Man', 'countryLabel': 'Nederland'}",True
2022-10-03T19:29:49+0200,Superwarm,,5,"{'country': 'NL', 'authorId': 13966625, 'firstname': 'M', 'countryLabel': 'Nederland'}",True
2022-10-03T19:19:29+0200,"Gave jas, mooie uitstraling en lekker warm :smiling_face_with_closed_eyes:",,5,"{'country': 'NL', 'authorId': 13966604, 'firstname': 'Hennie', 'countryLabel': 'Nederland'}",True
2022-10-03T19:10:04+0200,Heerlijke parka. Ook voor de koude dagen.,,5,"{'country': 'NL', 'authorId': 12264728, 'firstname': 'Gerwin', 'countryLabel': 'Nederland'}",True
2022-09-19T20:57:00+0200,Geweldige jas,,5,"{'country': 'NL', 'authorId': 13931376, 'firstname': 'Inge', 'countryLabel': 'Nederland'}",True
2022-09-18T17:32:00+0200,Perfect,,5,"{'country': 'NL', 'authorId': 12565086, 'firstname': 'Richard', 'countryLabel': 'Nederland'}",True
2022-09-01T21:25:20+0200,Top jas,,5,"{'country': 'NL', 'authorId': 9812939, 'firstname': 'Hans', 'gender': 'Man', 'countryLabel': 'Nederland'}",True
2022-05-29T19:06:01+0200,Top jas voor een mooie prijs,,4,"{'country': 'NL', 'authorId': 12954172, 'firstname': 'Henk', 'countryLabel': 'Nederland'}",True
2022-05-03T19:11:47+0200,Geweldig,,5,"{'country': 'NL', 'authorId': 13491583, 'firstname': 'Pauline', 'countryLabel': 'Nederland'}",True
2022-04-12T17:56:55+0200,waardeloos verpakt,,4,"{'country': 'NL', 'authorId': 13435757, 'firstname': 'maria', 'gender': 'Vrouw', 'age': '50-59', 'countryLabel': 'Nederland'}",True
2022-03-24T18:54:47+0100,Top jas voor een top prijs,,5,"{'country': 'NL', 'authorId': 13386530, 'firstname': 'Sonia', 'gender': 'Vrouw', 'countryLabel': 'Nederland'}",True
2022-03-28T09:12:20+0200,Ideale winterjas,,5,"{'country': 'NL', 'authorId': 13386502, 'firstname': 'Joyce', 'gender': 'Vrouw', 'countryLabel': 'Nederland'}",True
2022-03-14T21:42:28+0100,Fijne warme jas,,5,"{'country': 'NL', 'authorId': 11932104, 'firstname': 'Peter', 'countryLabel': 'Nederland'}",True
2022-02-27T17:08:16+0100,Zware warme jas,,3,"{'country': 'NL', 'authorId': 13318121, 'firstname': 'Arnold', 'gender': 'Man', 'countryLabel': 'Nederland'}",False
2022-02-27T13:35:52+0100,Goed voor op de scooter,,5,"{'country': 'NL', 'authorId': 8183429, 'firstname': 'Bryan', 'countryLabel': 'Nederland'}",True
2022-02-22T18:07:27+0100,Perfect,,5,"{'country': 'NL', 'authorId': 11445967, 'firstname': 'jordy', 'countryLabel': 'Nederland'}",True
2022-02-21T18:36:32+0100,Fijne jas,,4,"{'country': 'NL', 'authorId': 13302486, 'firstname': 'AHM', 'gender': 'Vrouw', 'countryLabel': 'Nederland'}",True
2022-02-07T18:24:59+0100,"Ik gebruik de jas op paard, werkt goed.",,5,"{'country': 'NL', 'authorId': 13261764, 'firstname': 'Vera', 'gender': 'Vrouw', 'countryLabel': 'Nederland'}",True
2022-02-02T19:45:28+0100,Perfecte jas,,5,"{'country': 'NL', 'authorId': 13178593, 'firstname': 'John', 'countryLabel': 'Nederland'}",True
2022-01-31T18:11:42+0100,Heerlijk warm en winddicht,,5,"{'country': 'NL', 'authorId': 13241417, 'firstname': 'Simone', 'gender': 'Vrouw', 'countryLabel': 'Nederland'}",True
2022-01-27T21:21:19+0100,Jas scheurt net boven de borst,,1,"{'country': 'NL', 'authorId': 13230841, 'firstname': 'Pierre', 'gender': 'Man', 'age': '30-39', 'countryLabel': 'Nederland'}",False
2022-01-17T09:28:48+0100,Geweldige en funcioneel,,5,"{'country': 'NL', 'authorId': 13191768, 'firstname': 'Gijs', 'gender': 'Man', 'countryLabel': 'Nederland'}",True
2022-01-17T09:28:17+0100,Geweldige aankoop.totaal geen spijt.,,5,"{'country': 'NL', 'authorId': 13190664, 'firstname': 'Rosa', 'gender': 'Vrouw', 'age': '40-49', 'countryLabel': 'Nederland'}",True
2022-01-11T09:14:48+0100,Lekker warm!,,4,"{'country': 'NL', 'authorId': 6290586, 'firstname': 'Pim', 'countryLabel': 'Nederland'}",True
2022-01-06T09:44:15+0100,Past goed!,,5,"{'country': 'NL', 'authorId': 13162843, 'firstname': 'jill', 'gender': 'Vrouw', 'countryLabel': 'Nederland'}",True
2022-01-03T09:01:48+0100,Hele fijne jas voor het geld.,,5,"{'country': 'NL', 'authorId': 7287446, 'firstname': 'Bert', 'countryLabel': 'Nederland'}",True
2021-12-28T09:12:54+0100,Super mooie jas zit perfect en maat van de jas pre,,5,"{'country': 'NL', 'authorId': 13135491, 'firstname': 'ans', 'gender': 'Vrouw', 'countryLabel': 'Nederland'}",True
2021-12-28T08:55:52+0100,Jas,,5,"{'country': 'NL', 'authorId': 13046577, 'firstname': 'Michel', 'countryLabel': 'Nederland'}",True
2021-12-28T09:12:28+0100,fantastiche jas met maar één minpuntje,,5,"{'country': 'NL', 'authorId': 13131738, 'firstname': 'Marc', 'gender': 'Man', 'age': '60 of ouder', 'countryLabel': 'Nederland'}",True
2021-12-28T09:12:15+0100,Heerlijke jas en heb er elke dag plezier van,,5,"{'country': 'NL', 'authorId': 6565482, 'firstname': 'Jordi', 'countryLabel': 'Nederland'}",True
2021-12-24T11:19:08+0100,"Heerlijke warme jas, comfortabel en regendicht",,5,"{'country': 'NL', 'authorId': 13125234, 'firstname': 'Tjebbe', 'gender': 'Man', 'age': '50-59', 'countryLabel': 'Nederland'}",True
2021-12-21T09:15:37+0100,Echt goed,,5,"{'country': 'NL', 'authorId': 13114081, 'firstname': 'vlainic', 'gender': 'Man', 'countryLabel': 'Nederland'}",True
2021-11-24T08:43:46+0100,Fantastisch! Nooit meer Woolrich.,,5,"{'country': 'NL', 'authorId': 13016436, 'firstname': 'F', 'gender': 'Man', 'age': '20-29', 'countryLabel': 'Nederland'}",True
2021-11-22T09:31:38+0100,De kou maakt geen schijn van kans.,,5,"{'country': 'NL', 'authorId': 7845638, 'firstname': 'Rakesh', 'gender': 'Man', 'age': '30-39', 'countryLabel': 'Nederland'}",True
2021-11-22T09:32:07+0100,Perfecte jas,,5,"{'country': 'NL', 'authorId': 13005511, 'firstname': 'Désiré', 'countryLabel': 'Nederland'}",True
2021-11-18T08:58:23+0100,Prima jas lekker warm,,5,"{'country': 'NL', 'authorId': 12997416, 'firstname': 'H', 'gender': 'Man', 'age': '50-59', 'countryLabel': 'Nederland'}",True
2021-11-17T09:36:55+0100,Mooie en fijne jas,,5,"{'country': 'NL', 'authorId': 12933466, 'firstname': 'Marcel', 'countryLabel': 'Nederland'}",True
2021-11-17T09:38:07+0100,Meer dan Fantastisch!!,,5,"{'country': 'NL', 'authorId': 12993133, 'firstname': 'Roy', 'gender': 'Man', 'countryLabel': 'Nederland'}",True
2021-11-17T09:36:12+0100,geweldige jas voldoet aan alles voor de winter,,5,"{'country': 'NL', 'authorId': 12992592, 'firstname': 'Nick', 'gender': 'Man', 'countryLabel': 'Nederland'}",True
2021-11-17T09:35:38+0100,Kwaliteit,,5,"{'country': 'NL', 'authorId': 12984471, 'firstname': 'S', 'gender': 'Man', 'countryLabel': 'Nederland'}",True
2021-11-17T09:37:14+0100,Prachtige winterjas,,5,"{'country': 'NL', 'authorId': 12983248, 'firstname': 'leo', 'gender': 'Man', 'countryLabel': 'Nederland'}",True
2021-11-15T09:30:23+0100,Vind het een geweldige winterjas.,,5,"{'country': 'NL', 'authorId': 12981529, 'firstname': 'Ron', 'gender': 'Man', 'countryLabel': 'Nederland'}",True
2021-11-15T09:30:21+0100,Een comfortabele warme mooie winterjas,,5,"{'country': 'NL', 'authorId': 12981132, 'firstname': 'Sjonny', 'gender': 'Man', 'countryLabel': 'Nederland'}",True
2021-11-10T09:40:37+0100,Perfecte jas,,5,"{'country': 'NL', 'authorId': 12974198, 'firstname': 'Jan', 'gender': 'Man', 'countryLabel': 'Nederland'}",True
2021-11-10T09:40:14+0100,heerlijke warme jas,,5,"{'country': 'NL', 'authorId': 12974033, 'firstname': 'Harry', 'countryLabel': 'Nederland'}",True
2021-11-10T09:42:16+0100,Superfijne jas,,5,"{'country': 'NL', 'authorId': 12912282, 'firstname': 'Conny', 'countryLabel': 'Nederland'}",True
2021-11-10T09:38:57+0100,Goed,,4,"{'country': 'NL', 'authorId': 12971206, 'firstname': 'K.N', 'gender': 'Man', 'countryLabel': 'Nederland'}",True
2021-11-08T09:10:14+0100,Heerlijke jas,,5,"{'country': 'NL', 'authorId': 12964694, 'firstname': 'David', 'gender': 'Man', 'countryLabel': 'Nederland'}",True
